epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.35,3.69666,4.88475,2.25109,0,0,0,0,2.84291,4.6084,1.78335,0.09406,6e-05,6e-05
2,201.389,3.0198,4.34402,1.83353,0,0,0,0,2.73359,4.49584,1.73245,0.0871299,0.000129873,0.000129873
3,309.118,2.85344,4.20345,1.69683,0,0,0,0,2.95757,4.52569,1.82619,0.0801992,0.000199219,0.000199219
4,407.764,2.79097,4.12175,1.63845,0,0,0,0,2.79339,4.46598,1.62135,0.0732676,0.000267633,0.000267633
5,513.752,2.74746,4.08228,1.57369,0,0,0,0,3.30543,4.50965,1.87603,0.0663347,0.000334713,0.000334713
6,604.21,2.67711,4.06023,1.57778,0,0,0,0,3.05708,4.39125,1.67288,0.0594001,0.000400067,0.000400067
7,708.597,2.64623,4.0713,1.56816,0.00128,0.0614,0.00091,0.0003,2.58205,4.46054,1.3669,0.0524633,0.000463315,0.000463315
8,808.705,2.65295,3.90032,1.58286,0.00161,0.09649,0.00119,0.00028,2.78695,4.66863,1.40712,0.0455241,0.000524089,0.000524089
9,907.848,2.58211,3.90142,1.54682,0.00455,0.03947,0.00325,0.00088,2.86168,5.10001,1.45052,0.038582,0.000582039,0.000582039
10,1008.52,2.72229,3.93507,1.59733,0,0,0,0,2.61962,5.8397,1.43443,0.0316368,0.00063683,0.00063683
11,1106.1,2.50707,3.86625,1.51002,0,0,0,0,2.58723,6.05661,1.51778,0.0246882,0.000688152,0.000688152
12,1200.62,2.58283,3.81639,1.50404,0.0016,0.07895,0.00119,0.00039,2.85698,4.20483,1.57714,0.0177357,0.000735715,0.000735715
13,1303.39,2.63924,3.81312,1.52626,0.00349,0.09211,0.00389,0.00077,2.80588,4.01463,1.51137,0.0107793,0.000779256,0.000779256
14,1405.71,2.6275,3.8242,1.55778,0.00235,0.10526,0.00303,0.00143,2.74681,4.12722,1.52963,0.00381854,0.000818535,0.000818535
15,1513.47,2.61046,3.86859,1.53131,0.00065,0.07895,0.00055,0.0002,2.77611,4.34528,1.42471,0.000820525,0.000820525,0.000820525
16,1628.18,2.55209,3.73578,1.48068,0.00098,0.11842,0.00081,0.00025,2.9767,3.93994,1.54816,0.000795954,0.000795954,0.000795954
17,1724.8,2.48651,3.70006,1.447,0.00369,0.14912,0.00277,0.00076,2.98838,3.76802,1.55982,0.000770234,0.000770234,0.000770234
18,1823.62,2.57039,3.71829,1.47748,0.00341,0.23684,0.00649,0.00234,2.82883,3.91921,1.47041,0.000743468,0.000743468,0.000743468
19,1931.26,2.45377,3.64556,1.45014,0.00449,0.30702,0.00801,0.00287,2.79278,3.68882,1.4416,0.000715761,0.000715761,0.000715761
20,2028.86,2.56008,3.67283,1.45304,0.00294,0.28947,0.00733,0.00256,2.84393,3.80178,1.46136,0.000687222,0.000687222,0.000687222
21,2130.55,2.59062,3.70647,1.47519,0.00308,0.28947,0.00691,0.00202,2.83534,3.93681,1.45733,0.000657963,0.000657963,0.000657963
22,2230.85,2.509,3.62767,1.44413,0.00556,0.30702,0.01076,0.00266,2.81673,3.6872,1.42318,0.000628101,0.000628101,0.000628101
23,2341.92,2.64629,3.59442,1.48613,0.00804,0.32018,0.01033,0.00218,2.70549,3.56314,1.39039,0.000597754,0.000597754,0.000597754
24,2438.58,2.5017,3.5986,1.44576,0.00811,0.34211,0.02155,0.00471,2.7253,3.57112,1.40162,0.00056704,0.00056704,0.00056704
25,2548.13,2.46337,3.62847,1.44356,0.00873,0.36404,0.01758,0.00553,2.75221,3.53916,1.40605,0.000536081,0.000536081,0.000536081
26,2656.59,2.51672,3.5511,1.46349,0.00759,0.28947,0.00918,0.0018,2.80004,3.5667,1.42848,0.000505,0.000505,0.000505
27,2753.24,2.55286,3.6005,1.49844,0.00821,0.34211,0.01002,0.00256,2.7283,3.51061,1.41706,0.000473919,0.000473919,0.000473919
28,2861.59,2.5519,3.5922,1.46979,0.00799,0.41667,0.01113,0.00304,2.73248,3.45281,1.42507,0.00044296,0.00044296,0.00044296
29,2962.28,2.48924,3.60056,1.47186,0.00766,0.39912,0.01042,0.00304,2.74295,3.46665,1.43092,0.000412246,0.000412246,0.000412246
30,3057.49,2.49321,3.57009,1.44708,0.00652,0.30263,0.00719,0.00271,2.75661,3.50333,1.44751,0.000381899,0.000381899,0.000381899
31,3154.11,2.49146,3.51389,1.41953,0.0064,0.25439,0.00699,0.00247,2.70602,3.55094,1.42876,0.000352037,0.000352037,0.000352037
32,3251.32,2.48374,3.53739,1.44418,0.00526,0.21491,0.00471,0.00183,2.63744,3.52558,1.3982,0.000322778,0.000322778,0.000322778
33,3347.59,2.57967,3.63354,1.48038,0.00534,0.23246,0.00485,0.00189,2.62501,3.49678,1.39576,0.000294239,0.000294239,0.000294239
34,3462.72,2.49872,3.53782,1.43906,0.0044,0.24561,0.00473,0.00176,2.57042,3.44334,1.37839,0.000266532,0.000266532,0.000266532
35,3567.85,2.41932,3.53049,1.41383,0.00389,0.26754,0.00495,0.00179,2.53595,3.46128,1.35974,0.000239766,0.000239766,0.000239766
36,3674.38,2.44772,3.49898,1.42757,0.00465,0.30702,0.00607,0.00215,2.53365,3.42323,1.35989,0.000214046,0.000214046,0.000214046
37,3774.08,2.46251,3.45428,1.40111,0.00493,0.31579,0.00624,0.00225,2.53916,3.39237,1.36384,0.000189475,0.000189475,0.000189475
38,3877.77,2.47685,3.53456,1.40719,0.00553,0.37281,0.0071,0.0026,2.55678,3.35002,1.37101,0.000166149,0.000166149,0.000166149
39,3984.36,2.48646,3.46582,1.41264,0.00604,0.37281,0.00707,0.00251,2.56719,3.34015,1.37387,0.000144161,0.000144161,0.000144161
40,4092.89,2.47369,3.4531,1.43638,0.00582,0.35965,0.0065,0.00234,2.57395,3.34953,1.37804,0.000123596,0.000123596,0.000123596
